 Compuatation of Swing Curve for clearing at 0.225s   

t,s 	 delta(n)-y 	 Pmaxsin 	 Pa 		 kPa 		 del_delta(n) 	 delta(n)
 0.00 	 15.4350 	 1.4644 	 0.2311 	 0.3900 	  0.3900
 0.05 	 15.8250 	 1.5005 	 0.1950 	 0.6582 	 1.0482 	 16.5800
 0.10 	 16.8731 	 1.5971 	 0.0984 	 0.3322 	 1.3804 	 17.6281
 0.15 	 18.2535 	 1.7234 	 -0.0279 	 -0.0943 	 1.2861 	 19.0085
 0.20 	 19.5396 	 1.8403 	 -0.1448 	 -0.4887 	 0.7974 	 20.2946
 0.25 	 20.2450 	 2.2470 	 -0.5774 	 -1.9486 	 -1.1511 	 21.0920
 0.30 	 19.0939 	 2.1241 	 -0.4545 	 -1.5340 	 -2.6851 	 19.9409
 0.35 	 16.4088 	 1.8343 	 -0.1647 	 -0.5559 	 -3.2410 	 17.2558
 0.40 	 13.1678 	 1.4792 	 0.1904 	 0.6425 	 -2.5985 	 14.0148
 0.45 	 10.5693 	 1.1911 	 0.4785 	 1.6151 	 -0.9834 	 11.4163
 0.50 	 9.5860 	 1.0813 	 0.5883 	 1.9854 	 1.0020 	 10.4330
 0.55 	 10.5880 	 1.1931 	 0.4765 	 1.6081 	 2.6101 	 11.4350
 0.60 	 13.1981 	 1.4826 	 0.1870 	 0.6312 	 3.2414 	 14.0451
 0.65 	 16.4395 	 1.8376 	 -0.1680 	 -0.5672 	 2.6742 	 17.2865
 0.70 	 19.1137 	 2.1262 	 -0.4566 	 -1.5411 	 1.1331 	 19.9607
 0.75 	 20.2468 	 2.2471 	 -0.5775 	 -1.9492 	 -0.8161 	 21.0938
 0.80 	 19.4307 	 2.1601 	 -0.4905 	 -1.6556 	 -2.4716 	 20.2777 
