  
     h        f0            f1        f1-f0/h     he^-1      |Actual Error|   
 
    1.        0.367879    0.135335  - 0.232544    0.183940    0.135335  
    0.2       0.367879    0.301194  - 0.333426    0.036788    0.034453  
    0.1       0.367879    0.332871  - 0.350084    0.018394    0.017796  
    0.02      0.367879    0.360595  - 0.364225    0.003679    0.003654  
    0.01      0.367879    0.364219  - 0.366046    0.001839    0.001833  
    0.002     0.367879    0.367144  - 0.367512    0.000368    0.000368  
    0.001     0.367879    0.367512  - 0.367696    0.000184    0.000184  
    0.0002    0.367879    0.367806  - 0.367843    0.000037    0.000037  
 
