 
 Truth Table

 f = y'z' + x'y + x'yz'

 g = xy' + x'z' + x'y

 h = (x' + y')(x + y + z'

 ****************************************

 x  y  z  |  y'z'   x'y   x'yz' |  f

 0  0  0  |    1       0       0     |  1

 0  0  1  |    0       0       0     |  0

 0  1  0  |    0       1       1     |  1

 0  1  1  |    0       1       0     |  1

 1  0  0  |    1       0       0     |  1

 1  0  1  |    0       0       0     |  0

 1  1  0  |    0       0       0     |  0

 1  1  1  |    0       0       0     |  0

 ****************************************

 x  y  z  |  xy'    x'z'   x'y   |  g

 0  0  0  |    0       1       0     |  1

 0  0  1  |    0       0       0     |  0

 0  1  0  |    0       1       1     |  1

 0  1  1  |    0       0       1     |  1

 1  0  0  |    1       0       0     |  1

 1  0  1  |    1       0       0     |  1

 1  1  0  |    0       0       0     |  0

 1  1  1  |    0       0       0     |  0

 ****************************************

 x  y  z  | x'+ y'   x + y + z'   |  h

 0  0  0  |    1           1         |  1

 0  0  1  |    1           0         |  0

 0  1  0  |    1           1         |  1

 0  1  1  |    1           1         |  1

 1  0  0  |    1           1         |  1

 1  0  1  |    1           1         |  1

 1  1  0  |    0           1         |  0

 1  1  1  |    0           1         |  0

 ****************************************

 The functions g and h are identical.
